,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,dim1,dim2
0,chevrolet chevelle malibu,18,8,307,130,3504,12,70,US,0.79230220889413,0.216090731765645
1,buick skylark 320,15,8,350,165,3693,11.5,70,US,0.839335436485011,-0.117655371826575
2,plymouth satellite,18,8,318,150,3436,11,70,US,0.993429843010193,0.072187483395989
3,amc rebel sst,16,8,304,150,3433,12,70,US,0.895508847444249,0.180988756100721
4,ford torino,17,8,302,140,3449,10.5,70,US,0.963184797794939,-0.165825922734276
5,ford galaxie 500,15,8,429,198,4341,10,70,US,1.00489333791275,0.081564020371665
6,chevrolet impala,14,8,454,220,4354,9,70,US,1.27122177068851,0.284446604546182
7,plymouth fury iii,14,8,440,215,4312,8.5,70,US,1.12135146975998,0.211486599002774
8,pontiac catalina,14,8,455,225,4425,10,70,US,1.12412696710086,-0.077999580806632
9,amc ambassador dpl,15,8,390,190,3850,8.5,70,US,1.04484399432232,0.132921605275726
10,dodge challenger se,15,8,383,170,3563,10,70,US,0.965472995865901,-0.025617133594084
11,plymouth 'cuda 340,14,8,340,160,3609,8,70,US,1.069908942489,-0.063586631283111
12,chevrolet monte carlo,15,8,400,150,3761,9.5,70,US,0.900387701158085,0.05600677228853
13,buick estate wagon (sw),14,8,455,225,3086,10,70,US,1.20279874902457,-0.020230408133961
14,toyota corona mark ii,24,4,113,95,2372,15,70,Japan,-0.80764109926247,-0.210388568997407
15,plymouth duster,22,6,198,95,2833,15.5,70,US,0.379828128045932,-0.067616601462403
16,amc hornet,18,6,199,97,2774,15.5,70,US,0.608369959966189,0.005877124445836
17,ford maverick,21,6,200,85,2587,16,70,US,0.4085408537561,0.161831039032975
18,datsun pl510,27,4,97,88,2130,14.5,70,Japan,-0.902251752958623,-0.673294068077524
19,volkswagen 1131 deluxe sedan,26,4,97,46,1835,20.5,70,Europe,-0.947550505194954,0.900977465362184
20,peugeot 504,25,4,110,87,2672,17.5,70,Europe,-0.765972890991558,0.771790522792855
21,audi 100 ls,24,4,107,90,2430,14.5,70,Europe,-0.709231424053579,0.969723878709791
22,saab 99e,25,4,104,95,2375,17.5,70,Europe,-0.843505672742393,0.853585360503729
23,bmw 2002,26,4,121,113,2234,12.5,70,Europe,-0.618741212310703,0.835694796165149
24,amc gremlin,21,6,199,90,2648,15,70,US,0.417384217784235,-0.113319099346094
25,ford f250,10,8,360,215,4615,14,70,US,1.16316738939387,0.279069516923736
26,chevy c20,10,8,307,200,4376,15,70,US,0.97343524537414,0.276566325976703
27,dodge d200,11,8,318,210,4382,13.5,70,US,1.14698322825031,0.10443543116796
28,hi 1200d,9,8,304,193,4732,18.5,70,US,0.936805587689955,0.191888872518788
29,datsun pl510,27,4,97,88,2130,14.5,71,Japan,-0.781006961033111,-0.671178233844717
30,chevrolet vega 2300,28,4,140,90,2264,15.5,71,US,0.173495656152777,-0.086309946958644
31,toyota corona,25,4,113,95,2228,14,71,Japan,-0.903118129530153,-0.307981289189895
32,amc gremlin,19,6,232,100,2634,13,71,US,0.443095915992804,-0.143116317736198
33,plymouth satellite custom,16,6,225,105,3439,15.5,71,US,0.5199539447442,-0.10359847693125
34,chevrolet chevelle malibu,17,6,250,100,3329,15.5,71,US,0.450565697350212,0.250085982300784
35,ford torino 500,19,6,250,88,3302,15.5,71,US,0.380263632814311,0.127406280951316
36,amc matador,18,6,232,100,3288,15.5,71,US,0.487824070852822,0.104027394606841
37,chevrolet impala,14,8,350,165,4209,12,71,US,0.884142545777316,0.232928962100948
38,pontiac catalina brougham,14,8,400,175,4464,11.5,71,US,0.951913644051549,0.303168686836856
39,ford galaxie 500,14,8,351,153,4154,13.5,71,US,0.831686667409176,0.149744878397505
40,plymouth fury iii,14,8,318,150,4096,13,71,US,0.770124631451212,0.214121868087223
41,dodge monaco (sw),12,8,383,180,4955,11.5,71,US,1.0327927564746,0.28631475902083
42,ford country squire (sw),13,8,400,170,4746,12,71,US,1.21467205624848,0.112024244807972
